Phylum,Sub Phylum,Class,Order,Family,Species,Common Name,C-value,Chrom num,Method,Cell type,Std sp,References,References,References
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Colibri coruscans,Sparkling violet-ear,1.02,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Colibri thalassinus,Green violet-ear,1.02,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Colibri thalassinus,Green violetear,1.15,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Doryfera ludovicae,Green-fronted lancebill,1.28,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Ensifera ensifera,Sword-billed hummingbird,1.16,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Eriocnemis luciani,Sapphire-vented puffleg,1.21,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Eutoxeres condamini,Buff-tailed sicklebill,1.12,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Eutoxeres condamini,Buff-tailed sicklebill,1.14,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Florisuga mellivora,White-necked jacobin,1.01,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Glaucis hirsutus,Rufous-breasted hermit,1.02,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Haplophaedia aureliae,Greenish puffleg,1.11,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Heliangelus micraster,Little sunangel,0.97,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Heliangelus viola,Purple-throated sunangel,1.13,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Heliodoxa aurescens,Gould's jewelfront,1.11,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Heliodoxa leadbeateri,Violet-fronted brilliant,1.19,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Heliodoxa rubinoides,Fawn-breasted brilliant,1.19,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Heliomaster longirostris,Long-billed starthroat,1.20,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Hylocharis cyanus,White-chinned sapphire,1.18,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Klais guimeti,Violet-headed hummingbird,1.13,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Lafresnaya lafresnayi,Mountain velvetbreast,1.00,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Lafresnaya lafresnayi,Mountain velvetbreast,1.24,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Lesbia nuna,Green-tailed trainbearer,0.98,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Lesbia nuna,Green-tailed trainbearer,1.18,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Lesbia victoriae,Black-tailed trainbearer,1.01,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Lesbia victoriae,Black-tailed trainbearer,1.12,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Leucippus taczanowskii,Spot-throated hummingbird,1.23,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Metallura phoebe,Black metaltail,1.01,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Metallura tyrianthina,Tyrian metaltail,1.03,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Metallura tyrianthina,Tyrian metaltail,1.18,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Myrmia micrura,Short-tailed woodstar,1.29,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Myrtis fanny,Purple-collared woodstar,1.30,,FIA,RBC,GD,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‘engines\’ of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Ocreatus underwoodii,Racket-tailed puffleg,1.01,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Oreotrochilus estella,Andean hillstar,1.02,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Oreotrochilus melanogaster,Black-breasted hillstar,1.04,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Patagona gigas,Giant hummingbird,1.08,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
Chordata,Vertebrata,Aves,Apodiformes,Trochilidae,Phaethornis guy,Green hermit,1.16,,FIA,RBC,GD,"Gregory, T.R., C.B. Andrews, J.A. McGuire, and C.C. Witt (2009). The smallest avian genomes are found in hummingbirds. Proceedings of the Royal Society of London B : in press.",,
