Family,Genus,species,1216S,VO2RES (ml/h) 20C,Mass (g),VO2RES (ml/h) 25C,"Mass
(g)",VO2EX (ml/h) 20C,"Mass
(g)",VO2EX (ml/h) 25C,"Mass
(g)",Ref.
Hyperoliidae,Kassina,maculata,--,0.28,5.8,0.37,5.67,--,--,--,--,-2
Hyperoliidae,Kassina,senegalensis,FJ151067,0.228,3.02,--,--,2.481,3,--,--,-1
Hyperoliidae,Kassina,weali,--,0.318,6.25,--,--,4.12,6.3,--,--,-1
Leiopelmatidae,Ascaphus,truei,AJ871087,--,--,--,--,--,--,--,--,
Leiopelmatidae,Leiopelma,archeyi,*,--,--,--,--,--,--,--,--,
Leptodactylidae,Adenomera,andreae,AY364538,--,--,--,--,--,--,--,--,
Leptodactylidae,Edalorhina,perezi,AY843585,--,--,--,--,--,--,--,--,
Leptodactylidae,Engystomops,pustulosus,DQ337241,--,--,0.26,1.72,--,--,3.349,1.84,-1
Leptodactylidae,Leptodactylus,fuscus,DQ283404,--,--,0.587,5.1,--,--,--,--,-1
Leptodactylidae,Leptodactylus,ocellatus,DQ158417,--,--,--,--,--,--,--,--,
Leptodactylidae,Leptodactylus,petadactylus,AY326017,--,--,--,--,--,--,--,--,
Leptodactylidae,Lithodytes,lineatus,AY843690,--,--,--,--,--,--,--,--,
Leptodactylidae,Pleurodema,brachyops,AY843733,--,--,--,--,--,--,--,--,
Leptodactylidae,Pseudopaludicola,falcipes,AY843741,--,--,--,--,--,--,--,--,
Limnodynastidae,Limnodynastes,salminii,AY326071,--,--,0.573,6.82,--,--,--,--,-6
Mantellidae,Aglyptodactylus,madagascariensis,DQ283056,--,--,--,--,--,--,--,--,
Mantellidae,Boophis,tephraeomystax,DQ283032,--,--,--,--,--,--,--,--,
Mantellidae,Laliostoma,labrosum,DQ283057,--,--,--,--,--,--,--,--,
Mantellidae,Mantella,nigricans,DQ283034,--,--,--,--,--,--,--,--,
Megophryidae,Megophrys,montana,*,--,--,--,--,--,--,--,--,
Microhylidae,Dyscophus,antonguilli,EU341120,0.75,41.6,1.13,40.7,--,--,--,--,-2
Microhylidae,Elachistocleis,ovalis,DQ283405,--,--,--,--,--,--,--,--,
Microhylidae,Gastrophryne,olivacea,AY326066,0.103,1.94,--,--,1.547,1.9,--,--,-1
Microhylidae,Kaloula,pulchra,NC006405,0.89,30.66,--,--,21.367,30.7,--,--,-1
Microhylidae,Scaphiophryne,marmorata,AY843751,--,--,--,--,--,--,--,--,
Myobatrachidae,Crinia,parinsignifera,EU443855,0.117,0.63,0.177,0.67,--,--,--,--,-1
Myobatrachidae,Crinia,signifera,EU443926,0.131,0.62,0.149,0.62,--,--,--,--,-1
Myobatrachidae,Heleioporus,albopunctatus,--,--,--,1.356,33.9,--,--,12.577,33.9,-6
Myobatrachidae,Neobatrachus,centralis,--,--,--,0.801,8.9,--,--,--,--,-1
Myobatrachidae,Neobatrachus,fulvus,--,--,--,1.154,11.9,--,--,--,--,-1
Myobatrachidae,Neobatrachus,kunapalari,"AY843700
(as sudelli)",--,--,1.519,21.1,--,--,14.953,21.12,-6
Myobatrachidae,Neobatrachus,pelobatoides,--,--,--,1.04,8,--,--,6.593,8.03,-8
Myobatrachidae,Neobatrachus,sutor,--,--,--,0.599,9.5,--,--,12.78,9.53,-1
Myobatrachidae,Neobatrachus,wilsmorei,--,--,--,1.515,18.7,--,--,--,--,-1
Myobatrachidae,Notaden,nichollsi,--,--,--,1.944,27,--,--,--,--,-6
Pelobatidae,Pelobates,cultripes,NC008144,--,--,--,--,--,--,--,--,
Pelodytidae,Pelodytes,punctatus,*,--,--,--,--,--,--,--,--,
Phrynobatrachidae,Phrynobatrachus,natalensis,DQ283414,--,--,--,--,--,--,--,--,
Pipidae,Hymenochirus,boettgeri,AY581623,--,--,--,--,--,--,--,--,
Pipidae,Pipa,pipa,*,--,--,--,--,--,--,--,--,
Pipidae,Silurana,tropicalis,NC006839,2.53,55,3.526,41,--,--,27.963,23.9,-1
Pyxicephalidae,Afrana,fuscigula,DQ283069,--,--,--,--,--,--,--,--,
Pyxicephalidae,Pyxicephalus,adspersus,--,14.22,562.3,18.5,500,344,400,--,--,"(1, 6)"
Pyxicephalidae,Strongylopus,grayii,DQ283068,--,--,--,--,--,--,--,--,
Ranidae,Conraua,goliath,DQ283132,--,--,18.86,251,--,--,--,--,-1
Ranidae,Fejervarya,cancrivora,--,1.041,20.45,1.577,20.45,--,--,--,--,-1
Ranidae,Rana,arvalis,--,2.887,17,4.769,17,--,--,--,--,-1
Ranidae,Rana,aurora,DQ283189,--,--,--,--,--,--,--,--,
Ranidae,Rana,blythi,--,--,--,4.373,88.7,--,--,--,--,-1
Ranidae,Rana,catesbeiana,DQ283257,5.614,228.2,8.65,292,21.32,26,--,--,"(1, 2)"
Ranidae,Rana,chalconota,DQ283139,--,--,0.391,4.1,--,--,--,--,-1
Ranidae,Rana,clamitans,DQ283185,--,--,2.701,32.5,1.984,4,--,--,-1
Ranidae,Rana,erythraea,DQ283138,0.781,19,1.625,19,--,--,--,--,-1
Ranidae,Rana,esculenta,--,4.394,45.3,4.195,50.32,--,--,--,--,-1
Ranidae,Rana,galamensis,DQ283058,--,--,--,--,--,--,--,--,
Ranidae,Rana,palmipes,DQ283384,--,--,--,--,--,--,--,--,
Ranidae,Rana,pipiens,*,1.521,34.8,3.276,42,16.52,28,27.108,50.2,-1
Ranidae,Rana,ridibunda,--,1.12,35,--,--,--,--,--,--,-1
Ranidae,Rana,sylvatica,DQ283387,1.098,12.67,0.648,6,9.462,12.7,--,--,-1
Ranidae,Rana,temporaria,AY326063,1.75,25,7.504,38.53,--,--,--,--,-1
Ranidae,Rana,virgatipes,--,--,--,1.015,7,--,--,--,--,-1
Rhacophoridae,Buergeria,buergeri,AB127977,--,--,--,--,--,--,--,--,
Rhacophoridae,Chirixalus,doriae,DQ283135,--,--,--,--,--,--,--,--,
Rhacophoridae,Chiromantis,petersi,--,--,--,0.795,11.2,--,--,--,--,-1
Rhinophrynidae,Rhinophrynus,dorsalis,*,--,--,--,--,--,--,--,--,
Scaphiopodidae,Scaphiopus,couchii,DQ283150,--,--,--,--,8.884,10.9,40.874,21.4,-1
Scaphiopodidae,Scaphiopus,hurteri,*,--,--,--,--,--,--,--,--,
Strabomantidae,Pristimantis,bogotensis,--,0.12,0.91,--,--,0.332,0.91,--,--,-5
Strabomantidae,Pristimantis,diastema,EU186682,--,--,--,--,--,--,--,--,
